년도,태풍번호,time,y,x,level
2020,10,2020-09-01 12:00,20.5,143.9,TS
2020,10,2020-09-01 18:00,19.9,143.5,TS
2020,10,2020-09-02 0:00,19.2,142.5,TS
2020,10,2020-09-02 6:00,19.4,141.5,TS
2020,10,2020-09-02 12:00,19.8,140.7,STS
2020,10,2020-09-02 18:00,20,139.4,STS
2020,10,2020-09-03 0:00,20.2,138.5,TY
2020,10,2020-09-03 6:00,20.6,137.6,TY
2020,10,2020-09-03 12:00,21,136.6,TY
2020,10,2020-09-03 18:00,21.2,135.8,TY
2020,10,2020-09-04 0:00,21.8,135.1,TY
2020,10,2020-09-04 6:00,22.2,134.3,TY
2020,10,2020-09-04 12:00,22.7,133.5,TY
2020,10,2020-09-04 18:00,23.3,132.6,TY
2020,10,2020-09-05 0:00,23.9,132.1,TY
2020,10,2020-09-05 6:00,24.7,131.5,TY
2020,10,2020-09-05 12:00,25.4,131,TY
2020,10,2020-09-05 18:00,26.4,130.9,TY
2020,10,2020-09-06 0:00,27.7,130.6,TY
2020,10,2020-09-06 6:00,29.4,130.1,TY
2020,10,2020-09-06 9:00,30.2,129.8,TY
2020,10,2020-09-06 12:00,31,129.5,TY
2020,10,2020-09-06 15:00,31.9,129.3,TY
2020,10,2020-09-06 18:00,32.9,129.1,TY
2020,10,2020-09-06 21:00,34,129.2,TY
2020,10,2020-09-07 0:00,35.3,129.3,TY
2020,10,2020-09-07 3:00,36.9,129.2,STS
2020,10,2020-09-07 6:00,38.6,128.9,STS
2020,10,2020-09-07 9:00,39.4,128.7,STS
2020,10,2020-09-07 12:00,40.4,128.6,LOW
